TITULO,AUTOR,PUNTUACION,TIPO_TAPA
TOMAS NEVINSON,JAVIER MARIAS,10,Tapa blanda
TRANSBORDO EN MOSCÚ,EDUARDO MENDOZA,,Tapa blanda
INDEPENDENCIA (TERRA ALTA 2),JAVIER CERCAS,9,Tapa blanda
AQUITANIA (PREMIO PLANETA 2020),EVA GARCIA SAENZ DE URTURI,9,Tapa dura
LA ANOMALÍA,HERVE LE TELLIER,,Tapa blanda
FERIA,ANA IRIS SIMON,10,Tapa blanda
DELPARAÍSO,JUAN DEL VAL,7,Tapa blanda
EL HUERTO DE EMERSON,LUIS LANDERO,9,Tapa blanda
CONSUMITS PEL FOC,JAUME CABRE,,Tapa dura
LOS INGRATOS,PEDRO SIMON,9,Tapa dura
EL JUEGO DEL ALMA,JAVIER CASTILLO,10,Tapa blanda
REINA ROJA,JUAN GOMEZ-JURADO,9,Tapa dura
REY BLANCO,JUAN GOMEZ-JURADO,10,Tapa dura
LOBA NEGRA,JUAN GOMEZ-JURADO,10,Tapa dura
NUESTRA CASA,LOUISE CANDLISH,,Tapa dura
LOS CRÍMENES DE LA CARRETERA,J.D. BARKER,10,Tapa blanda
ARSENE LUPIN. CABALLERO LADRÓN,MAURICE LEBLANC,,Tapa blanda
LA CHICA DE NIEVE,JAVIER CASTILLO,9,Tapa blanda
DIEZ NEGRITOS,AGATHA CHRISTIE,10,Tapa blanda
LA NENA (SERIE INSPECTORA ELENA BLANCO 3),CARMEN MOLA,9,Tapa blanda
EL DIOS QUE HABITA LA ESPADA (PREMIO NARRATIVA HISTORICA 2021),JOSE SOTO CHICA,,Tapa dura
LAS TINIEBLAS Y EL ALBA,KEN FOLLETT,9,Tapa dura
EL EVANGELIO SEGUN MARIA MAGDALENA,CRISTINA FALLARAS,8,Tapa blanda
EL JUICIO DEL AGUA,JUAN FRANCISCO FERRANDIZ,8,Tapa dura
Y JULIA RETO A LOS DIOSES,SANTIAGO POSTEGUILLO,10,Tapa dura
LA REINA SOLA,JORGE MOLIST,10,Tapa dura
LA LEYENDA DE LA PEREGRINA,CARMEN POSADAS,10,Tapa dura
LAS ARMAS DE LA LUZ,JESUS SANCHEZ ADALID,10,Tapa dura
JUANA DE CASTILLA,MARIA TERESA ALVAREZ,8,Tapa dura
JAQUE AL EMPERADOR,J. R. BARAT,,Tapa blanda
EL ARTE DE ENGAÑAR AL KARMA,ELISABET BENAVENT,8,Tapa blanda
SEDUCIENDO A MR. BRIDGERTON (SERIE BRIDGERTON 4),JULIA QUINN,10,Tapa blanda
EL DUQUE Y YO (SERIE BRIDGERTON 1),JULIA QUINN,9,Tapa blanda
EL VIZCONDE QUE ME AMÓ (SERIE BRIDGERTON 2),JULIA QUINN,10,Tapa blanda
TE DOY MI CORAZON (SERIE BRIDGERTON 3),JULIA QUINN,9,Tapa blanda
"A SIR PHILLIP, CON AMOR (SERIE BRIDGERTON 5)",JULIA QUINN,9,Tapa blanda
EL CORAZÓN DE UNA BRIDGERTON (SERIE BRIDGERTON 6),JULIA QUINN,10,Tapa blanda
POR UN BESO (SERIE BRIDGERTON 7),JULIA QUINN,8,Tapa blanda
EL DIA QUE DEJO DE NEVAR EN ALASKA,ALICE KELLEN,10,Tapa blanda
LA MANSIÓN. TIEMPO DE RESURGIR,ANNE JACOBS,10,Tapa blanda
LA VIDA INVISIBLE DE ADDIE LARUE,V.E. SCHWAB,10,Tapa blanda
LA SANGRE DE LOS ELFOS (SAGA GERALT DE RIVIA 3) (EDICION COLECCIO NISTA),ANDRZEJ SAPKOWSKI,9,Tapa dura
EL DEMONIO DE ARBENNIOS,BERNARD TORELLO LOPEZ,7,Tapa blanda
PALABRAS RADIANTES (SAGA EL ARCHIVO DE LAS TORMENTAS 2),BRANDON SANDERSON,9,Tapa dura
LA ESPADA DEL DESTINO (SAGA GERALT DE RIVIA 2) (EDICION COLECCION ISTA),ANDRZEJ SAPKOWSKI,10,Otros
LAVINIA,URSULA K. LE GUIN,10,Tapa blanda
EL SEÑOR DEL CAOS Nº 06/14,ROBERT JORDAN,,Tapa blanda
EL SILMARILLION (TAPA DURA LUJO),J.R.R. TOLKIEN,9,Tapa dura
EL HEROE DE LAS ERAS (SAGA NACIDOS DE LA BRUMA 3),BRANDON SANDERSON,10,Tapa dura
NUNCANOCHE (CRÓNICAS DE NUNCANOCHE 1),JAY KRISTOFF,,Tapa blanda
READY PLAYER TWO,ERNEST CLINE,8,Tapa blanda
POR QUÉ ME COMÍ A PADRE.,ROY LEWIS,10,Tapa dura
EL PROBLEMA DE LOS TRES CUERPOS (TRILOGIA DE LOS TRES CUERPOS 1),CIXIN LIU,9,Tapa blanda
READY PLAYER ONE,ERNEST CLINE,8,Tapa blanda
EL BOSQUE OSCURO (TRILOGIA DE LOS TRES CUERPOS 2),CIXIN LIU,9,Tapa blanda
EL FIN DE LA MUERTE (TRILOGÍA DE LOS TRES CUERPOS 3),CIXIN LIU,8,Tapa blanda
TIEMPO DE MARTE,PHILIP K. DICK,,Tapa blanda
METRO 2035 (SAGA METRO 3),DMITRY GLUKHOVSKY,10,Tapa blanda
H.P. LOVECRAFT OBRA COMPLETA,H.P. LOVECRAFT,,Tapa dura
SOLARIS,STANISLAW LEM,10,Tapa blanda
NOSOTROS EN LA LUNA,ALICE KELLEN,10,Tapa blanda
TODO LO QUE SOMOS JUNTOS,ALICE KELLEN,10,Tapa blanda
LA COCINERA DE CASTAMAR,FERNANDO J. MUÑEZ,10,Tapa blanda
UN CUENTO PERFECTO,ELISABET BENAVENT,8,Tapa blanda
EL CUARTO DE ATRAS,CARMEN MARTIN GAITE,8,Tapa dura
CICATRIZ,JUAN GOMEZ-JURADO,9,Tapa blanda
ESTUCHE PIDEME LO QUE QUIERAS,MEGAN MAXWELL,10,Tapa blanda
ESTUCHE TRILOGÍA DE LA CIUDAD BLANCA,EVA GARCIA SAENZ DE URTURI,10,Tapa blanda
TERRA ALTA,JAVIER CERCAS,9,Tapa blanda
LA VERDAD SOBRE EL CASO HARRY QUEBERT (EDICIÓN LIMITADA),JOËL DICKER,10,Tapa blanda
NO BASTO CON QUERER,LORETO SESMA,,Tapa blanda
TODO LO QUE NECESITO EXISTE YA EN MI,RUPI KAUR,9,Tapa blanda
VERDADES A MEDIAS (EJEMPLAR FIRMADO POR LA AUTORA),INDIA MARTINEZ,,Tapa blanda
NO QUIERO OTRO INVIERNO SIN MÍ,REDRY DAVID GALAN,,Tapa blanda
LA CHICA DESASTRE DE LOS VESTIDOS DE VERANO,J.F. TORRES,,Tapa blanda
LA PIEL EN LOS LABIOS,MIGUEL GANE,9,Tapa blanda
A TRAVES DE LOS OJOS (EJEMPLAR FIRMADO POR EL AUTOR),ANDRES SUAREZ,,Tapa blanda
ADIOS AL FRIO,ELVIRA SASTRE,10,Tapa blanda
EDDA MENOR,SNORRI STURLUSON,8,Tapa blanda
MAGIAPALABRA,JOSE JAVIER ALFARO,,Tapa blanda
LA RATONERA,AGATHA CHRISTIE,8,Tapa blanda
EL CAMPAMENTO,BLUE JEANS,8,Tapa blanda
EL CAMPAMENTO (EJEMPLAR FIRMADO POR EL AUTOR),BLUE JEANS,,Tapa blanda
UNA CORTE DE ROSAS Y ESPINAS,SARAH J. MAAS,10,Tapa blanda
UNA CORTE DE NIEBLA Y FURIA (UNA CORTE DE ROSAS Y ESPINAS 2),SARAH J. MAAS,10,Tapa blanda
CULPA MÍA (CULPABLES 1),MERCEDES RON,10,Tapa blanda
CUATRO CORAZONES CON FRENO Y MARCHA ATRAS (2ª ED.),ENRIQUE JARDIEL PONCELA,10,Tapa blanda
A TRAVES DE MI VENTANA,ARIANA GODOY,10,Tapa blanda
UNA CORTE DE ALAS Y RUINA (UNA CORTE DE ROSAS Y ESPINAS 3),SARAH J. MAAS,10,Tapa blanda
GRISHAVERSE 1: SOMBRA Y HUESO,LEIGH BARDUGO,10,Tapa blanda
LAS PREGUNTAS QUE NOS UNEN,ALBA CANTALAPIEDRA,10,Tapa blanda
COÑODRAMAS,MODERNA DE PUEBLO,10,Tapa blanda
ESPIRITUS Y CRIATURAS DE JAPON,LAFCADIO HEARN,,Otros
MAUS,ART SPIEGELMAN,10,Tapa dura
NOCHES OSCURAS: DEATH METAL Nº 01 DE 7 (MEGADETH BAND EDITION) (CARTONE),SCOTT SNYDER,,Tapa dura
CONTRAPASO. LOS HIJOS DE LOS OTROS,TERESA VALERO,,Otros
JOJO S BIZARRE ADVENTURE PARTE 6: STONE OCEAN 6,HIROHIKO ARAKI,,Tapa blanda
UZUMAKI (INTEGRAL),JUNJI ITO,10,Tapa dura
ALICIA EN UN MUNDO REAL,ISABEL FRANC,,Tapa blanda
WARBURG & BEACH,JORGE CARRION,,Tapa dura
EXI. BIENVENIDOS A GLITCH CITY,EXI,10,Tapa dura
PRINCIPITO (COLORES ORIGINALES),ANTOINE DE SAINT-EXUPERY,10,Tapa blanda
UNA HERENCIA PELIGROSA (AMANDA BLACK 1),JUAN GOMEZ-JURADO,10,Tapa dura
EL PRINCIPITO  (EDICIÓN DE LUJO),ANTOINE DE SAINT-EXUPERY,10,Tapa dura
MITOS GRIEGOS,MARIA ANGELIDOU,7,Tapa blanda
